"","est1","","","est2","",""
"","b","se","p","b","se","p"
"595.time","9.053","0.83","0.000***","9.053","0.83","0.000***"
"596.time","6.261","0.78","0.000***","6.261","0.78","0.000***"
"597.time","2.171","0.79","0.007**","2.171","0.79","0.007**"
"598.time","3.750","0.74","0.000***","3.750","0.74","0.000***"
"599.time","4.225","0.80","0.000***","4.225","0.80","0.000***"
"600.time","8.175","0.76","0.000***","8.175","0.76","0.000***"
"601.time","12.751","0.85","0.000***","12.751","0.85","0.000***"
"602.time","17.124","0.81","0.000***","17.124","0.81","0.000***"
"603.time","24.140","0.77","0.000***","24.140","0.77","0.000***"
"604.time","24.257","0.83","0.000***","24.257","0.83","0.000***"
"605.time","21.973","0.89","0.000***","21.973","0.89","0.000***"
"606.time","24.213","0.95","0.000***","24.213","0.95","0.000***"
"607.time","25.886","0.86","0.000***","25.886","0.86","0.000***"
"608.time","21.299","0.85","0.000***","21.299","0.85","0.000***"
"609.time","17.939","1.05","0.000***","17.939","1.05","0.000***"
"610.time","20.634","1.02","0.000***","20.634","1.02","0.000***"
"611.time","28.218","0.96","0.000***","28.218","0.96","0.000***"
"612.time","35.942","0.89","0.000***","35.942","0.89","0.000***"
"613.time","38.900","0.96","0.000***","38.900","0.96","0.000***"
"614.time","44.828","0.96","0.000***","44.828","0.96","0.000***"
"615.time","47.859","0.98","0.000***","47.859","0.98","0.000***"
"616.time","40.267","0.89","0.000***","40.267","0.89","0.000***"
"617.time","38.056","1.21","0.000***","38.056","1.21","0.000***"
"618.time","40.923","0.92","0.000***","40.923","0.92","0.000***"
"619.time","38.533","1.04","0.000***","38.533","1.04","0.000***"
"620.time","36.047","1.01","0.000***","36.047","1.01","0.000***"
"621.time","42.412","1.18","0.000***","42.412","1.18","0.000***"
"622.time","49.390","1.12","0.000***","49.390","1.12","0.000***"
"623.time","54.576","1.65","0.000***","54.576","1.65","0.000***"
"624.time","63.158","1.03","0.000***","63.158","1.03","0.000***"
"625.time","72.243","1.14","0.000***","72.243","1.14","0.000***"
"626.time","74.307","1.00","0.000***","74.307","1.00","0.000***"
"627.time","71.097","1.22","0.000***","71.097","1.22","0.000***"
"628.time","69.762","1.35","0.000***","69.762","1.35","0.000***"
"629.time","65.870","2.10","0.000***","65.870","2.10","0.000***"
"630.time","45.157","1.29","0.000***","45.157","1.29","0.000***"
"631.time","48.726","1.22","0.000***","48.726","1.22","0.000***"
"632.time","53.381","1.08","0.000***","53.381","1.08","0.000***"
"633.time","55.813","1.19","0.000***","55.813","1.19","0.000***"
"634.time","56.377","1.18","0.000***","56.377","1.18","0.000***"
"635.time","56.948","1.13","0.000***","56.948","1.13","0.000***"
"636.time","59.388","0.92","0.000***","59.388","0.92","0.000***"
"637.time","58.136","1.30","0.000***","58.136","1.30","0.000***"
"638.time","52.161","0.92","0.000***","52.161","0.92","0.000***"
"639.time","51.974","1.12","0.000***","51.974","1.12","0.000***"
"640.time","48.766","1.13","0.000***","48.766","1.13","0.000***"
"641.time","47.440","1.17","0.000***","47.440","1.17","0.000***"
"642.time","55.022","1.19","0.000***","55.022","1.19","0.000***"
"643.time","63.266","1.24","0.000***","63.266","1.24","0.000***"
"644.time","67.534","2.48","0.000***","67.534","2.48","0.000***"
"645.time","74.259","1.30","0.000***","74.259","1.30","0.000***"
"646.time","75.655","1.31","0.000***","75.655","1.31","0.000***"
"647.time","78.562","1.62","0.000***","78.562","1.62","0.000***"
"648.time","87.697","1.27","0.000***","87.697","1.27","0.000***"
"649.time","88.186","1.26","0.000***","88.186","1.26","0.000***"
"650.time","96.002","1.29","0.000***","96.002","1.29","0.000***"
"651.time","103.093","1.34","0.000***","103.093","1.34","0.000***"
"652.time","109.068","1.59","0.000***","109.068","1.59","0.000***"
"653.time","123.401","1.77","0.000***","123.401","1.77","0.000***"
"654.time","136.618","1.59","0.000***","136.618","1.59","0.000***"
"655.time","144.287","2.60","0.000***","144.287","2.60","0.000***"
"656.time","148.703","1.78","0.000***","148.703","1.78","0.000***"
"657.time","162.559","1.96","0.000***","162.559","1.96","0.000***"
"658.time","162.386","1.62","0.000***","162.386","1.62","0.000***"
"659.time","159.194","1.68","0.000***","159.194","1.68","0.000***"
"660.time","147.092","1.46","0.000***","147.092","1.46","0.000***"
"661.time","138.059","1.68","0.000***","138.059","1.68","0.000***"
"662.time","150.287","2.10","0.000***","150.287","2.10","0.000***"
"663.time","153.712","1.65","0.000***","153.712","1.65","0.000***"
"664.time","151.655","1.81","0.000***","151.655","1.81","0.000***"
"665.time","155.300","2.18","0.000***","155.300","2.18","0.000***"
"666.time","144.192","2.05","0.000***","144.192","2.05","0.000***"
"667.time","136.109","2.54","0.000***","136.109","2.54","0.000***"
"668.time","112.690","1.65","0.000***","112.690","1.65","0.000***"
"669.time","102.839","2.10","0.000***","102.839","2.10","0.000***"
"670.time","94.135","1.60","0.000***","94.135","1.60","0.000***"
"671.time","71.289","1.63","0.000***","71.289","1.63","0.000***"
"672.time","75.735","1.16","0.000***","75.735","1.16","0.000***"
"673.time","77.219","1.26","0.000***","77.219","1.26","0.000***"
"674.time","82.304","1.34","0.000***","82.304","1.34","0.000***"
"675.time","73.196","1.31","0.000***","73.196","1.31","0.000***"
"676.time","64.648","1.36","0.000***","64.648","1.36","0.000***"
"677.time","58.402","1.17","0.000***","58.402","1.17","0.000***"
"678.time","51.978","1.52","0.000***","51.978","1.52","0.000***"
"679.time","56.461","1.25","0.000***","56.461","1.25","0.000***"
"680.time","43.441","1.21","0.000***","43.441","1.21","0.000***"
"681.time","29.366","1.12","0.000***","29.366","1.12","0.000***"
"682.time","34.616","1.17","0.000***","34.616","1.17","0.000***"
"683.time","40.751","1.08","0.000***","40.751","1.08","0.000***"
"684.time","45.358","1.24","0.000***","45.358","1.24","0.000***"
"685.time","44.862","1.38","0.000***","44.862","1.38","0.000***"
"686.time","50.301","1.90","0.000***","50.301","1.90","0.000***"
"687.time","55.669","1.29","0.000***","55.669","1.29","0.000***"
"688.time","63.638","1.67","0.000***","63.638","1.67","0.000***"
"689.time","60.931","1.13","0.000***","60.931","1.13","0.000***"
"690.time","56.395","1.06","0.000***","56.395","1.06","0.000***"
"691.time","53.329","2.83","0.000***","53.329","2.83","0.000***"
"692.time","53.848","2.64","0.000***","53.848","2.64","0.000***"
"693.time","55.328","1.63","0.000***","55.328","1.63","0.000***"
"694.time","55.058","1.62","0.000***","55.058","1.62","0.000***"
"695.time","54.368","1.81","0.000***","54.368","1.81","0.000***"
"696.time","62.783","1.61","0.000***","62.783","1.61","0.000***"
"697.time","67.389","1.79","0.000***","67.389","1.79","0.000***"
"698.time","62.224","1.26","0.000***","62.224","1.26","0.000***"
"699.time","58.028","1.74","0.000***","58.028","1.74","0.000***"
"700.time","56.994","1.32","0.000***","56.994","1.32","0.000***"
"701.time","53.995","1.29","0.000***","53.995","1.29","0.000***"
"702.time","86.371","20.61","0.000***","86.371","20.61","0.000***"
"_cons","85.496","2.04","0.000***","85.496","2.04","0.000***"
"N","19550","","","19550","",""
"R-sq",".9451044","","",".9451044","",""
